"modell","inverkehrssetzung","fahrzeugart","aussenfarbe","kilometer","getriebeart","antrieb","treibstoff","tueren","sitze","innenfarbe","hubrauminccm","zylinder","leistunginps","leergewicht","verbrauch","co2.emission","energieeffizienz","abmfk","garantie","preis"
"VW Passat 1.8 T Comfort(Kombi)","08-2001","Occasion","rot","147'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1781,4,150,"1576 kg","8.4 l/100km","202 g/km","E",TRUE,"0 Monate","CHF 8'600.- "
"VW Passat 1.8 T Comfort(Kombi)","06-1997","Occasion","blau","210'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"gruen",1781,4,150,"1423 kg","8.4 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'800.- "
"VW Passat 1.8 T Comfort(Kombi)","10-2001","Occasion","silber","149'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1781,4,150,"1576 kg","8.4 l/100km","202 g/km","E",TRUE,"0 Monate","CHF 6'800.- "
"VW Passat 1.8 T Comfort(Kombi)","08-1998","Occasion","gruen","108'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1781,4,150,"1423 kg","8.4 l/100km",NA,NA,FALSE,"0 Monate","CHF 7'800.- "
"VW Passat 1.8 T Comfort(Kombi)","08-2001","Occasion","blau","164'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1781,4,150,"1576 kg","8.4 l/100km","202 g/km","E",TRUE,"0 Monate","CHF 8'900.- "
"VW Passat 1.8 T Comfort(Kombi)","06-2004","Occasion","silber","123'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1576 kg","8.4 l/100km","202 g/km","E",FALSE,"0 Monate","CHF 12'900.- "
"VW Passat 1.8 T Comfort(Kombi)","04-1999","Occasion","bordeaux","90'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1781,4,150,"1423 kg","8.4 l/100km",NA,NA,FALSE,"3 Monate","CHF 10'900.- "
"VW Passat 1.8 T Comfort(Kombi)","11-1998","Occasion","blau","312'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1423 kg","8.4 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'950.- "
"VW Passat 1.8 T Comfort(Kombi)","09-2001","Occasion","blau","139'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1781,4,150,"1576 kg","8.4 l/100km","202 g/km","E",TRUE,"0 Monate","CHF 9'900.- "
"VW Passat 1.8 T Comfort(Kombi)","02-2000","Occasion","blau","176'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1781,4,150,"1423 kg","8.4 l/100km",NA,NA,TRUE,"0 Monate","CHF 5'900.- "
"VW Passat 1.8 T Comfort(Kombi)","02-2001","Occasion","silber","198'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1781,4,150,"1423 kg","8.4 l/100km",NA,NA,TRUE,"0 Monate","CHF 6'900.- "
"VW Passat 1.8 T Exclusive(Kombi)","10-2004","Occasion","schwarz","112'700 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1781,4,150,"1576 kg","8.4 l/100km","202 g/km","E",FALSE,"12 Monate","CHF 14'950.- "
"VW Passat 1.8  T  Exclusive(Kombi)","05-2004","Occasion","grau","83'000 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1781,4,150,"1637 kg","9.7 l/100km","233 g/km","E",TRUE,"0 Monate","CHF 17'400.- "
"VW Passat 1.8 T Exclusive(Kombi)","06-2005","Occasion","silber","114'500 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1781,4,150,"1637 kg","9.7 l/100km","233 g/km","G",TRUE,"12 Monate","CHF 13'800.- "
"VW Passat 1.8 T Exclusive(Kombi)","12-2004","Occasion","grau","113'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1576 kg","8.4 l/100km","202 g/km","E",TRUE,"12 Monate","CHF 14'800.- "
"VW Passat 1.8 T High(Kombi)","01-2000","Occasion","grau","101'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1423 kg","8.4 l/100km",NA,NA,TRUE,"3 Monate","CHF 8'900.- "
"VW Passat 1.8 T High(Kombi)","11-2002","Occasion","silber","140'300 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1576 kg","8.6 l/100km","206 g/km","E",TRUE,"3 Monate","CHF 10'600.- "
"VW Passat 1.8 T High(Kombi)","03-2001","Occasion","blau","152'900 km","Automat","Vorderradantrieb","Benzin",5,5,"anthrazit",1781,4,150,"1576 kg","9.8 l/100km","235 g/km","G",TRUE,"3 Monate","CHF 6'800.- "
"VW Passat 1.8 T High(Kombi)","08-2001","Occasion","silber","175'500 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1637 kg","9.8 l/100km","235 g/km","G",TRUE,"12 Monate","CHF 9'900.- "
"VW Passat 1.8 T High(Kombi)","01-2004","Occasion","silber","88'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1576 kg","8.4 l/100km","202 g/km","E",FALSE,"0 Monate","CHF 15'900.- "
"VW Passat 1.8 T High(Kombi)","11-1998","Occasion","blau","138'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1423 kg","8.4 l/100km",NA,NA,TRUE,"3 Monate","CHF 8'990.- "
"VW Passat 1.8 T High(Kombi)","01-2004","Occasion","silber","75'000 km","Automat","Vorderradantrieb","Benzin",5,5,"anthrazit",1781,4,150,"1637 kg","9.8 l/100km","235 g/km","G",TRUE,"3 Monate","CHF 12'500.- "
"VW Passat 1.8 T High(Kombi)","07-2002","Occasion","grau","220'600 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1781,4,150,"1637 kg","9.8 l/100km","235 g/km","G",FALSE,"0 Monate","CHF 6'900.- "
"VW Passat 1.8 T High(Kombi)","06-1999","Occasion","blau","157'500 km","Automat","Vorderradantrieb","Benzin",5,5,"blau",1781,4,150,"1423 kg","9.4 l/100km",NA,NA,TRUE,"0 Monate","CHF 8'900.- "
"VW Passat 1.8 T High(Kombi)","03-2002","Occasion","silber","116'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1576 kg","8.4 l/100km","202 g/km","E",TRUE,"0 Monate","CHF 7'250.- "
"VW Passat 1.8 T High(Kombi)","04-2005","Occasion","schwarz","172'000 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1637 kg","9.8 l/100km","235 g/km","G",TRUE,"0 Monate","CHF 10'900.- "
"VW Passat 1.8 T High(Kombi)","01-2002","Occasion","grau","120'000 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1637 kg","9.8 l/100km","235 g/km","G",FALSE,"3 Monate","CHF 10'500.- "
"VW Passat 1.8 T High(Kombi)","07-1999","Occasion","blau","249'200 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1423 kg","9.4 l/100km",NA,NA,TRUE,"0 Monate","CHF 4'900.- "
"VW Passat 1.8 T High(Kombi)","09-2004","Occasion","grau","66'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1781,4,150,"1576 kg","8.4 l/100km","202 g/km","E",TRUE,"0 Monate","CHF 15'900.- "
"VW Passat 1.8 T High(Kombi)","02-1998","Occasion","gruen","174'000 km","Automat","Vorderradantrieb","Benzin",5,5,"beige",1781,4,150,"1423 kg","8.4 l/100km",NA,NA,TRUE,"0 Monate","CHF 4'990.- "
"VW Passat 1.8 T High(Kombi)","11-1999","Occasion","blau","115'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"beige",1781,4,150,"1423 kg","8.4 l/100km",NA,NA,TRUE,"0 Monate","CHF 9'900.- "
"VW Passat 1.8 T High(Kombi)","03-1998","Occasion","schwarz","205'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"blau",1781,4,150,"1423 kg","8.4 l/100km",NA,NA,FALSE,"0 Monate","CHF 6'200.- "
"VW Passat 1.8 T High(Kombi)","12-1998","Occasion","blau","190'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1781,4,150,"1423 kg","8.4 l/100km",NA,NA,TRUE,"3 Monate","CHF 5'300.- "
"VW Passat 1.8 T High(Kombi)","03-2001","Occasion","blau","115'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1781,4,150,"1423 kg","8.4 l/100km",NA,NA,TRUE,"0 Monate","CHF 7'999.- "
"VW Passat 1.8 T High(Kombi)","07-2001","Occasion","gruen","120'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1576 kg","8.4 l/100km","202 g/km","E",FALSE,"3 Monate","CHF 10'990.- "
"VW Passat 1.8 T High(Kombi)","02-2003","Occasion","schwarz","147'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1576 kg","8.4 l/100km","202 g/km","E",TRUE,"3 Monate","CHF 12'900.- "
"VW Passat 1.8 T High(Kombi)","02-2000","Occasion","schwarz","180'800 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1423 kg","8.4 l/100km",NA,NA,TRUE,"3 Monate","CHF 6'900.- "
"VW Passat 1.8 T High(Kombi)","03-2002","Occasion","blau","162'000 km","Automat","Vorderradantrieb","Benzin",5,5,"anthrazit",1781,4,150,"1637 kg","9.8 l/100km","235 g/km","G",TRUE,"12 Monate","CHF 9'900.- "
"VW Passat 1.8 T High(Kombi)","06-2003","Occasion","gruen","147'500 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1637 kg","9.8 l/100km","235 g/km","G",TRUE,"3 Monate","CHF 7'300.- "
"VW Passat 1.8 T High(Kombi)","09-2002","Occasion","silber","207'700 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1576 kg","8.4 l/100km","202 g/km","E",TRUE,"0 Monate","CHF 8'950.- "
"VW Passat 1.8 T High(Kombi)","03-2000","Occasion","schwarz","199'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1781,4,150,"1423 kg","8.4 l/100km",NA,NA,FALSE,"0 Monate","CHF 2'650.- "
"VW Passat 1.8 T High(Kombi)","05-2002","Occasion","schwarz","145'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1576 kg","8.4 l/100km","202 g/km","E",FALSE,"0 Monate","CHF 11'500.- "
"VW Passat 1.8 T High(Kombi)","06-1999","Occasion","blau","223'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1781,4,150,"1423 kg","8.1 l/100km",NA,NA,FALSE,"0 Monate","CHF 3'500.- "
"VW Passat 1.8 T High(Kombi)","01-2000","Occasion","gruen","159'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"beige",1781,4,150,"1423 kg","8.4 l/100km",NA,NA,TRUE,"0 Monate","CHF 6'600.- "
"VW Passat 1.8 T High(Kombi)","08-2005","Occasion","schwarz","85'800 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1637 kg","9.8 l/100km","235 g/km","G",FALSE,"12 Monate","CHF 16'900.- "
"VW Passat 1.8 T High(Kombi)","03-1999","Occasion","gruen","191'200 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"beige",1781,4,150,"1423 kg","8.4 l/100km",NA,NA,TRUE,"3 Monate","CHF 6'900.- "
"VW Passat 1.8 T High(Kombi)","06-2001","Occasion","gruen","105'000 km","Automat","Vorderradantrieb","Benzin",5,5,"beige",1781,4,150,"1637 kg","9.8 l/100km","235 g/km","G",TRUE,"0 Monate","CHF 8'900.- "
"VW Passat 1.8 T High(Kombi)","03-2000","Occasion","silber","140'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,150,"1423 kg","8.4 l/100km",NA,NA,FALSE,"0 Monate","CHF 7'800.- "
"VW Passat 1.8 Trend(Kombi)","01-1998","Occasion","gruen","147'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"grau",1781,4,125,"1400 kg","8.8 l/100km",NA,NA,TRUE,"0 Monate","CHF 4'999.- "
"VW Passat 1.8 Trend(Kombi)","04-1999","Occasion","rot","139'800 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,125,"1400 kg","9.2 l/100km",NA,NA,FALSE,"0 Monate","CHF 8'500.- "
"VW Passat 1.8 Trend(Kombi)","02-1998","Occasion","bordeaux","135'000 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1781,4,125,"1400 kg","8.8 l/100km",NA,NA,TRUE,"0 Monate","CHF 5'600.- "
"VW Passat 1.8 Trend(Kombi)","06-1998","Occasion","silber","107'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1781,4,125,"1400 kg","8.8 l/100km",NA,NA,TRUE,"0 Monate","CHF 6'900.- "
"VW Passat 1.8 Trend(Kombi)","05-1998","Occasion","blau","163'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1781,4,125,"1400 kg","8.8 l/100km",NA,NA,FALSE,"0 Monate","CHF 5'444.- "
"VW Passat 1.8 Trend(Kombi)","07-1997","Occasion","blau","219'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1781,4,125,"1400 kg","8.8 l/100km",NA,NA,FALSE,"0 Monate","CHF 1'400.- "
"VW Passat 1.8 TSI Comfort(Kombi)","01-2008","Occasion","schwarz","84'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",TRUE,"12 Monate","CHF 19'850.- "
"VW Passat 1.8 TSI Comfort(Kombi)","03-2010","Occasion","schwarz","46'600 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"24 Monate","CHF 28'550.- "
"VW Passat 1.8 TSI Comfort(Kombi)","06-2008","Occasion","schwarz","52'636 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1798,4,160,"1556 kg","8.4 l/100km","199 g/km","E",FALSE,"12 Monate","CHF 29'900.- "
"VW Passat 1.8 TSI Comfort(Kombi)","12-2007","Occasion","silber","67'100 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1556 kg","8.4 l/100km","199 g/km","E",FALSE,"12 Monate","CHF 23'980.- "
"VW Passat 1.8 TSI Comfort(Kombi)","10-2008","Occasion","schwarz","57'000 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1798,4,160,"1556 kg","8.4 l/100km","199 g/km","E",FALSE,"0 Monate","CHF 22'900.- "
"VW Passat 1.8 TSI Comfort(Kombi)","03-2010","Occasion","silber","36'800 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1541 kg",NA,"171 g/km","D",TRUE,"12 Monate","CHF 28'480.- "
"VW Passat 1.8 TSI Comfort(Kombi)","12-2007","Occasion","schwarz","69'000 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1556 kg","8.4 l/100km","199 g/km","E",FALSE,"12 Monate","CHF 21'800.- "
"VW Passat 1.8 TSI Comfort(Kombi)","11-2008","Occasion","silber","30'605 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1556 kg","8.4 l/100km","199 g/km","E",FALSE,"0 Monate","CHF 24'900.- "
"VW Passat 1.8 TSI Comfort(Kombi)","07-2008","Occasion","grau","44'745 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1556 kg","8.4 l/100km","199 g/km","E",FALSE,"12 Monate","CHF 26'300.- "
"VW Passat 1.8 TSI Comfort(Kombi)","02-2008","Occasion","grau","36'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"12 Monate","CHF 27'790.- "
"VW Passat 1.8 TSI Comfort(Kombi)","01-2008","Occasion","silber","71'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"0 Monate","CHF 19'900.- "
"VW Passat 1.8 TSI Comfort(Kombi)","01-2010","Occasion","grau","15'000 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"0 Monate","CHF 28'900.- "
"VW Passat 1.8 TSI Comfort(Kombi)","12-2008","Occasion","grau","44'610 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1556 kg","8.4 l/100km","199 g/km","E",FALSE,"0 Monate","CHF 23'900.- "
"VW Passat 1.8 TSI Comfort(Kombi)","07-2009","Occasion","grau","32'400 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"0 Monate","CHF 23'900.- "
"VW Passat 1.8 TSI Comfort(Kombi)","02-2008","Occasion","silber","68'600 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1556 kg","8.4 l/100km","199 g/km","E",FALSE,"12 Monate","CHF 25'880.- "
"VW Passat 1.8 TSI Comfort(Kombi)","03-2010","Occasion","grau","18'600 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"0 Monate","CHF 28'800.- "
"VW Passat 1.8 TSI Comfort(Kombi)","03-2010","Occasion","grau","32'000 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"0 Monate","CHF 27'900.- "
"VW Passat 1.8 TSI Comfort(Kombi)","03-2008","Occasion","blau","53'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"12 Monate","CHF 28'900.- "
"VW Passat 1.8 TSI Comfort(Kombi)","11-2008","Occasion","schwarz","39'970 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1556 kg","8.4 l/100km","199 g/km","E",FALSE,"0 Monate","CHF 29'300.- "
"VW Passat 1.8 TSI Comfort(Kombi)","11-2008","Occasion","schwarz","44'980 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1556 kg","8.4 l/100km","199 g/km","E",FALSE,"0 Monate","CHF 23'900.- "
"VW Passat 1.8 TSI Comfort(Kombi)","03-2009","Occasion","schwarz","44'600 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1556 kg","8.4 l/100km","199 g/km","E",TRUE,"12 Monate","CHF 25'900.- "
"VW Passat 1.8 TSI Comfort(Kombi)","07-2009","Occasion","silber","46'500 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"12 Monate","CHF 27'880.- "
"VW Passat 1.8 TSI Comfort(Kombi)","03-2010","Occasion","grau","26'700 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"12 Monate","CHF 29'900.- "
"VW Passat 1.8 TSI Comfort(Kombi)","03-2010","Occasion","grau","17'900 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"0 Monate","CHF 28'900.- "
"VW Passat 1.8 TSI Comfort(Kombi)","07-2009","Occasion","schwarz","18'700 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1556 kg","8.4 l/100km","199 g/km","E",FALSE,"0 Monate","CHF 28'500.- "
"VW Passat 1.8 TSI Comfort(Kombi)","03-2010","Occasion","schwarz","18'700 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"0 Monate","CHF 28'500.- "
"VW Passat 1.8 TSI Comfort(Kombi)","01-2010","Occasion","schwarz","36'600 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"12 Monate","CHF 29'300.- "
"VW Passat 1.8 TSI High(Kombi)","09-2008","Occasion","blau","147'200 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"3 Monate","CHF 18'900.- "
"VW Passat 1.8 TSI High(Kombi)","08-2009","Occasion","grau","26'000 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"12 Monate","CHF 29'700.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","grau","30'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"0 Monate","CHF 27'300.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","silber","13'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",TRUE,"12 Monate","CHF 28'500.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","schwarz","28'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,NA,1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"12 Monate","CHF 26'900.- "
"VW Passat 1.8 TSI Value(Kombi)","05-2010","Occasion","grau","23'541 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"0 Monate","CHF 29'900.- "
"VW Passat 1.8 TSI Value(Kombi)","06-2010","Occasion","grau","37'900 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1541 kg",NA,"171 g/km","D",TRUE,"12 Monate","CHF 28'750.- "
"VW Passat 1.8 TSI Value(Kombi)","10-2009","Occasion","silber","39'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1798,4,160,"1527 kg","7.8 l/100km","186 g/km","D",FALSE,"0 Monate","CHF 26'900.- "
"VW Passat 1.8 TSI Value(Kombi)","07-2010","Occasion","grau","33'300 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"0 Monate","CHF 28'900.- "
"VW Passat 1.8 TSI Value(Kombi)","07-2010","Occasion","grau","25'011 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"0 Monate","CHF 28'750.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","silber","24'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"12 Monate","CHF 28'800.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","schwarz","26'600 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"24 Monate","CHF 27'400.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","silber","24'143 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"24 Monate","CHF 28'900.- "
"VW Passat 1.8 TSI Value(Kombi)","07-2010","Occasion","schwarz","40'325 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"0 Monate","CHF 26'500.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","schwarz","11'200 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"12 Monate","CHF 28'900.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","grau","21'300 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"12 Monate","CHF 27'400.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","silber","28'700 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"12 Monate","CHF 28'250.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","schwarz","22'030 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"0 Monate","CHF 29'500.- "
"VW Passat 1.8 TSI Value(Kombi)","10-2009","Occasion","silber","39'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"anthrazit",1798,4,160,"1527 kg","7.8 l/100km","186 g/km","D",FALSE,"0 Monate","CHF 26'900.- "
"VW Passat 1.8 TSI Value(Kombi)","06-2010","Occasion","schwarz","33'531 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"0 Monate","CHF 28'900.- "
"VW Passat 1.8 TSI Value(Kombi)","05-2010","Occasion","schwarz","31'300 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"12 Monate","CHF 28'900.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","schwarz","23'907 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"0 Monate","CHF 28'500.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","grau","34'050 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"12 Monate","CHF 28'960.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","schwarz","30'500 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"0 Monate","CHF 27'900.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","grau","25'800 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"12 Monate","CHF 28'390.- "
"VW Passat 1.8 TSI Value(Kombi)","06-2010","Occasion","silber","28'250 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"12 Monate","CHF 26'750.- "
"VW Passat 1.8 TSI Value(Kombi)","12-2010","Occasion","grau","22'900 km","Handschaltung","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1527 kg",NA,"174 g/km","D",FALSE,"24 Monate","CHF 27'850.- "
"VW Passat 1.8 TSI Value(Kombi)","06-2010","Occasion","schwarz","25'100 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"12 Monate","CHF 28'900.- "
"VW Passat 1.8 TSI Value(Kombi)","09-2010","Occasion","silber","21'650 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"12 Monate","CHF 28'800.- "
"VW Passat 1.8 TSI Value(Kombi)","05-2010","Occasion","grau","33'540 km","Automat","Vorderradantrieb","Benzin",5,5,NA,1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"12 Monate","CHF 28'900.- "
"VW Passat 1.8 TSI Value(Kombi)","05-2010","Occasion","grau","23'541 km","Automat","Vorderradantrieb","Benzin",5,5,"schwarz",1798,4,160,"1541 kg",NA,"171 g/km","D",FALSE,"0 Monate","CHF 29'900.- "
